ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands
200,simple,SKU-200,,ĐỒNG HỒ CƠ - Mẫu 001,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 001,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 001. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,42,5,0,0,0.2,10,10,5,1,,1206692,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
201,simple,SKU-201,,ĐỒNG HỒ CƠ - Mẫu 002,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 002,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 002. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,88,5,0,0,0.2,10,10,5,1,,1245781,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
202,simple,SKU-202,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 003. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,18,5,0,0,0.2,10,10,5,1,,2405769,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
203,simple,SKU-203,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 004. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,92,5,0,0,0.2,10,10,5,1,,4167385,5000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
204,simple,SKU-204,,ĐỒNG HỒ NAM - Mẫu 005,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 005,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 005. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,65,5,0,0,0.2,10,10,5,1,,1842060,2000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
205,simple,SKU-205,,ĐỒNG HỒ TRẺ EM - Mẫu 006,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 006,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 006. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,55,5,0,0,0.2,10,10,5,1,,1608936,2000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
206,simple,SKU-206,,ĐỒNG HỒ CƠ - Mẫu 007,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 007,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 007. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,33,5,0,0,0.2,10,10,5,1,,1232824,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
207,simple,SKU-207,,ĐỒNG HỒ NAM - Mẫu 008,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 008,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 008. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,76,5,0,0,0.2,10,10,5,1,,1412571,1500000,ĐỒNG HỒ NAM,,,,,,,,,,,,
208,simple,SKU-208,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 009. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,21,5,0,0,0.2,10,10,5,1,,2673397,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
209,simple,SKU-209,,ĐỒNG HỒ TRẺ EM - Mẫu 010,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 010,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 010. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,95,5,0,0,0.2,10,10,5,1,,1751654,2000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
210,simple,SKU-210,,ĐỒNG HỒ TRẺ EM - Mẫu 011,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 011,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 011. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,44,5,0,0,0.2,10,10,5,1,,4300302,5000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
211,simple,SKU-211,,ĐỒNG HỒ TRẺ EM - Mẫu 012,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 012,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 012. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,29,5,0,0,0.2,10,10,5,1,,1273941,1500000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
212,simple,SKU-212,,ĐỒNG HỒ NỮ - Mẫu 013,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 013,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 013. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,60,5,0,0,0.2,10,10,5,1,,809633,1000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
213,simple,SKU-213,,ĐỒNG HỒ NỮ - Mẫu 014,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 014,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 014. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,12,5,0,0,0.2,10,10,5,1,,1696089,2000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
214,simple,SKU-214,,ĐỒNG HỒ CƠ - Mẫu 015,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 015,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 015. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,83,5,0,0,0.2,10,10,5,1,,1203013,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
215,simple,SKU-215,,ĐỒNG HỒ TRẺ EM - Mẫu 016,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 016,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 016. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,67,5,0,0,0.2,10,10,5,1,,1204689,1500000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
216,simple,SKU-216,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 017,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 017,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 017. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,39,5,0,0,0.2,10,10,5,1,,1751939,2000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
217,simple,SKU-217,,ĐỒNG HỒ NỮ - Mẫu 018,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 018,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 018. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,52,5,0,0,0.2,10,10,5,1,,4427494,5000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
218,simple,SKU-218,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 019,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 019,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 019. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,71,5,0,0,0.2,10,10,5,1,,1754407,2000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
219,simple,SKU-219,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 020,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 020,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 020. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,14,5,0,0,0.2,10,10,5,1,,1708577,2000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
220,simple,SKU-220,,ĐỒNG HỒ TRẺ EM - Mẫu 021,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 021,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 021. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,90,5,0,0,0.2,10,10,5,1,,1787834,2000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
221,simple,SKU-221,,ĐỒNG HỒ NỮ - Mẫu 022,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 022,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 022. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,58,5,0,0,0.2,10,10,5,1,,803606,1000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
222,simple,SKU-222,,ĐỒNG HỒ TRẺ EM - Mẫu 023,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 023,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 023. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,27,5,0,0,0.2,10,10,5,1,,2584164,3000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
223,simple,SKU-223,,ĐỒNG HỒ NỮ - Mẫu 024,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 024,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 024. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,96,5,0,0,0.2,10,10,5,1,,1209355,1500000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
224,simple,SKU-224,,ĐỒNG HỒ NỮ - Mẫu 025,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 025,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 025. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,35,5,0,0,0.2,10,10,5,1,,1220463,1500000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
225,simple,SKU-225,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 026,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 026,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 026. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,79,5,0,0,0.2,10,10,5,1,,4423405,5000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
226,simple,SKU-226,,ĐỒNG HỒ CƠ - Mẫu 027,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 027,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 027. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,48,5,0,0,0.2,10,10,5,1,,899990,1000000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
227,simple,SKU-227,,ĐỒNG HỒ TRẺ EM - Mẫu 028,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 028,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 028. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,63,5,0,0,0.2,10,10,5,1,,841443,1000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
228,simple,SKU-228,,ĐỒNG HỒ NAM - Mẫu 029,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 029,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 029. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,25,5,0,0,0.2,10,10,5,1,,857905,1000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
229,simple,SKU-229,,ĐỒNG HỒ NAM - Mẫu 030,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 030,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 030. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,81,5,0,0,0.2,10,10,5,1,,4065261,5000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
230,simple,SKU-230,,ĐỒNG HỒ CƠ - Mẫu 031,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 031,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 031. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,16,5,0,0,0.2,10,10,5,1,,4531818,5000000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
231,simple,SKU-231,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 032,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 032,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 032. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,53,5,0,0,0.2,10,10,5,1,,2791480,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
232,simple,SKU-232,,ĐỒNG HỒ NỮ - Mẫu 033,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 033,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 033. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,98,5,0,0,0.2,10,10,5,1,,4300325,5000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
233,simple,SKU-233,,ĐỒNG HỒ NAM - Mẫu 034,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 034,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 034. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,40,5,0,0,0.2,10,10,5,1,,1203009,1500000,ĐỒNG HỒ NAM,,,,,,,,,,,,
234,simple,SKU-234,,ĐỒNG HỒ CƠ - Mẫu 035,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 035,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 035. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,73,5,0,0,0.2,10,10,5,1,,1203009,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
235,simple,SKU-235,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 036,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 036,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 036. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,31,5,0,0,0.2,10,10,5,1,,1865969,2000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
236,simple,SKU-236,,ĐỒNG HỒ TRẺ EM - Mẫu 037,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 037,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 037. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,85,5,0,0,0.2,10,10,5,1,,916196,1000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
237,simple,SKU-237,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 038,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 038,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 038. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,22,5,0,0,0.2,10,10,5,1,,2673397,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
238,simple,SKU-238,,ĐỒNG HỒ NAM - Mẫu 039,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 039,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 039. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,59,5,0,0,0.2,10,10,5,1,,1842060,2000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
239,simple,SKU-239,,ĐỒNG HỒ NỮ - Mẫu 040,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 040,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 040. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,13,5,0,0,0.2,10,10,5,1,,1367776,1500000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
240,simple,SKU-240,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 041,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 041,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 041. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,99,5,0,0,0.2,10,10,5,1,,2584164,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
241,simple,SKU-241,,ĐỒNG HỒ NỮ - Mẫu 042,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 042,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 042. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,36,5,0,0,0.2,10,10,5,1,,1608936,2000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
242,simple,SKU-242,,ĐỒNG HỒ NAM - Mẫu 043,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 043,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 043. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,72,5,0,0,0.2,10,10,5,1,,916196,1000000,ĐỒNG HỒ NAM,,,,,,,,,,,,
243,simple,SKU-243,,ĐỒNG HỒ NỮ - Mẫu 044,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 044,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 044. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,17,5,0,0,0.2,10,10,5,1,,2584164,3000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
244,simple,SKU-244,,ĐỒNG HỒ CƠ - Mẫu 045,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 045,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 045. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,66,5,0,0,0.2,10,10,5,1,,1203009,1500000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
245,simple,SKU-245,,ĐỒNG HỒ NỮ - Mẫu 046,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NỮ - Mẫu 046,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NỮ - Mẫu 046. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,45,5,0,0,0.2,10,10,5,1,,4321350,5000000,ĐỒNG HỒ NỮ,,,,,,,,,,,,
246,simple,SKU-246,,ĐỒNG HỒ CƠ - Mẫu 047,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ CƠ - Mẫu 047,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ CƠ - Mẫu 047. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,89,5,0,0,0.2,10,10,5,1,,860431,1000000,ĐỒNG HỒ CƠ,,,,,,,,,,,,
247,simple,SKU-247,,ĐỒNG HỒ ĐIỆN TỬ - Mẫu 048,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ ĐIỆN TỬ - Mẫu 048,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ ĐIỆN TỬ - Mẫu 048. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,23,5,0,0,0.2,10,10,5,1,,2791480,3000000,ĐỒNG HỒ ĐIỆN TỬ,,,,,,,,,,,,
248,simple,SKU-248,,ĐỒNG HỒ TRẺ EM - Mẫu 049,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ TRẺ EM - Mẫu 049,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ TRẺ EM - Mẫu 049. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,75,5,0,0,0.2,10,10,5,1,,2791480,3000000,ĐỒNG HỒ TRẺ EM,,,,,,,,,,,,
249,simple,SKU-249,,ĐỒNG HỒ NAM - Mẫu 050,1,0,visible,Đây là mô tả ngắn cho ĐỒNG HỒ NAM - Mẫu 050,"Đây là mô tả đầy đủ và chi tiết cho sản phẩm ĐỒNG HỒ NAM - Mẫu 050. Sản phẩm chất lượng cao, bảo hành 12 tháng.",,,,taxable,,1,11,5,0,0,0.2,10,10,5,1,,4531818,5000000,ĐỒNG HỒ NAM,,,,,,,,,,,,